gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000078941	0.081953704	0.5769452	0.36460415	0.25255483	0.09452913	0.23273882
ENSMUSG00000085054	0.04169309	0.35772634	0.17739697	0.21943009	-0.0778334	0.16350375
ENSMUSG00000102124	-0.013803713	-0.10766634	-0.1933116	-0.12623054	-0.08943664	-0.15358728
ENSMUSG00000020014	0.01692346	0.04606235	-0.16866916	0.062152036	-0.004369165	0.053116675
ENSMUSG00000022462	0.10900549	0.4218954	0.491717	0.3158597	0.122869805	0.1803943
ENSMUSG00000020307	0.14991899	0.47244212	0.59034044	0.28016075	0.10826928	0.21545455
ENSMUSG00000086629	-0.0031757387	0.09718918	-0.2042087	0.020187182	-0.015388338	0.17846762
ENSMUSG00000021177	0.030410128	0.24726363	0.0136278635	0.23916787	0.029864252	0.18482088
ENSMUSG00000084999	0.067469075	0.069601305	0.29005033	0.20383044	0.04574847	0.014123572
ENSMUSG00000022889	0.04237687	0.3176318	0.17202291	0.25107175	0.074329264	0.16873941
ENSMUSG00000113272	0.012029808	-0.11345496	-0.15680432	-0.18319832	-0.02423585	-0.13297537
ENSMUSG00000032449	0.08851779	0.28746468	0.3139392	0.3150812	0.13374244	0.1598078
ENSMUSG00000000766	0.0039763646	-0.15302631	-0.16853756	-0.2083961	-0.03181478	-0.11293933
ENSMUSG00000030499	0.07933432	0.34351984	0.18534826	0.29252303	0.120117724	0.1820625
ENSMUSG00000051095	0.089494176	-0.064143725	0.44999653	0.059042554	0.040733308	-0.027060898
ENSMUSG00000056531	0.035784736	0.3008614	-0.009845896	0.20969085	-0.06417926	0.2144792
ENSMUSG00000029705	0.029771492	0.34749055	-0.009451772	0.18834403	0.05578296	0.25435334
ENSMUSG00000009569	0.022273395	0.29911914	-0.08775996	0.2125238	0.009484388	0.19543359
ENSMUSG00000044948	0.029697182	0.088586986	-0.022603067	0.051287647	0.054760627	0.10272741
