gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000001729	0.035133004	0.019876864	0.033632416	0.07574163	0.05700503	0.0966453
ENSMUSG00000031601	0.1834781	-0.07590785	0.38319993	-0.03339838	0.07131035	-0.0574855
ENSMUSG00000017667	0.036905658	0.11257748	0.0016927518	-0.0022354575	0.058201708	0.10141295
ENSMUSG00000111925	-0.086384065	-0.2069336	-0.22308826	-0.20112416	-0.07946771	-0.13541418
ENSMUSG00000110838	0.012938812	-0.12561037	-0.15698166	-0.18070851	-0.011474504	-0.0931962
ENSMUSG00000068011	0.052385174	-0.07845731	0.22350608	0.09500881	0.024843302	-0.00055502215
ENSMUSG00000022014	-0.0009760381	-0.13008486	-0.1561125	-0.13707016	-0.05674964	-0.08711646
ENSMUSG00000031284	-0.02851114	-0.22668047	-0.1921696	-0.11936121	-0.033711012	0.042050008
ENSMUSG00000117800	0.034897935	-0.12569593	-0.17404154	-0.1403002	0.033643078	-0.086967506
ENSMUSG00000110105	-0.09410177	-0.6102189	-0.19172928	-0.2770071	-0.12465846	-0.25134322
ENSMUSG00000090374	0.17135258	-0.07196516	0.7136224	0.16303784	0.02481087	-0.0025441903
ENSMUSG00000029086	0.019642685	-0.024732914	-0.121718615	0.074131794	0.03768474	0.061553944
ENSMUSG00000106864	0.05655454	0.506179	0.27054736	0.28730378	0.07527302	0.25150767
ENSMUSG00000014959	0.051648017	0.38475317	0.29047066	0.19712737	0.05524082	0.2064988
ENSMUSG00000004931	0.110974856	0.22573735	0.15005209	0.25201064	0.11786101	0.0820451
ENSMUSG00000102785	0.005747545	-0.14728098	-0.1589394	-0.21566814	-0.022039624	-0.10498169
ENSMUSG00000092452	-0.087003216	-0.15095788	-0.20558272	-0.17843421	-0.12299166	-0.18932691
ENSMUSG00000030616	0.009912961	-0.1238482	-0.14292166	-0.09665433	-0.02017345	-0.052725747
ENSMUSG00000031907	0.027565815	0.18128172	0.17166269	0.14205478	0.036455017	0.12027891
ENSMUSG00000021552	0.034882892	0.27684325	0.07044888	0.16679852	0.030012988	0.19930962
ENSMUSG00000019843	0.027679889	0.26874793	-0.09323365	0.0937867	0.034055147	0.20406781
ENSMUSG00000034898	0.013593289	-0.08295644	-0.13007648	-0.11311389	0.041564565	-0.06916613
ENSMUSG00000085562	0.018947575	-0.063597225	-0.11277048	0.034672547	0.028092831	-0.033726394
ENSMUSG00000095082	-0.032546178	-0.18739973	-0.16098857	-0.18242808	0.06835538	-0.06496707
ENSMUSG00000095493	0.003507695	-0.16879748	-0.13048503	-0.22337645	-0.004513383	-0.149164
ENSMUSG00000011658	0.09069898	0.26093248	0.34262714	0.13625605	0.07479962	0.17363982
ENSMUSG00000029148	0.038894337	0.31754428	0.042451944	0.054403123	0.06801669	0.1733453
ENSMUSG00000053216	0.03348193	-0.040791124	0.11909116	0.080901764	0.004187929	-0.05790235
ENSMUSG00000026413	0.015821416	-0.11201325	-0.15399833	-0.07070078	-0.019200303	0.05726552
ENSMUSG00000086141	0.0062328763	-0.12264107	-0.18039712	-0.04073565	-0.007387643	-0.058559474
ENSMUSG00000050914	0.04323565	0.23284101	0.20530702	0.20005874	0.01053009	0.08504743
ENSMUSG00000116068	-0.023330128	-0.1745369	-0.16408052	-0.21525532	-0.069593504	-0.14255737
ENSMUSG00000035394	0.0128612565	-0.06729546	-0.21994214	-0.0030174446	-0.04030585	-0.078921236
ENSMUSG00000034773	0.05724437	0.3688373	0.21692958	0.25918606	0.082874306	0.19075836
ENSMUSG00000001750	0.043506414	-0.08914508	0.020585662	0.051870618	0.07971502	0.026498776
ENSMUSG00000043782	0.05991481	0.089704506	0.23201683	-0.0009513858	0.04605444	0.07679486
ENSMUSG00000026336	0.009023603	-0.1424744	-0.14452799	-0.16465472	-0.073738344	-0.1277815
ENSMUSG00000020928	0.060396403	-0.061773784	-0.009060338	-0.088001	-0.036121387	-0.091403626
ENSMUSG00000104097	0.082480624	-0.07631249	0.1173802	-0.062082548	0.04550926	-0.072927
ENSMUSG00000038079	0.028065363	0.30790934	-0.11462577	0.2194206	0.050383054	0.19584942
ENSMUSG00000050600	0.019027991	-0.13300782	-0.1345569	-0.14725934	0.024397833	-0.034500785
ENSMUSG00000070695	-0.0041137505	-0.12330985	-0.17773733	-0.11543877	-0.030536838	-0.07710568
ENSMUSG00000097788	0.068759464	0.16597903	0.14787924	0.09467376	0.06070774	0.1451498
ENSMUSG00000034087	-0.017314179	-0.1520197	-0.18105239	-0.17934641	-0.059922773	-0.12630813
ENSMUSG00000034607	-0.081607774	-0.16840364	-0.20624831	-0.12423749	-0.08824251	-0.08991172
ENSMUSG00000039577	0.021423362	0.31941965	-0.13287443	0.057099	0.06937032	0.24606009
ENSMUSG00000047904	0.025132306	0.022744	-0.0772888	0.046950888	-0.038182445	0.07900666
ENSMUSG00000031971	0.14035699	0.22569361	0.5298225	0.16973796	0.06720752	0.14512692
ENSMUSG00000027997	0.023345709	-0.043042276	-0.019322006	0.061575852	-0.0021022016	0.01217197
ENSMUSG00000022070	0.05376632	0.29447916	0.2949467	0.22010557	0.047864307	0.19813465
ENSMUSG00000024172	0.01739159	0.02739162	-0.1448117	0.07238681	0.016282229	0.11123778
ENSMUSG00000033501	0.060054153	-0.096077174	0.1038014	-0.17619726	0.027369352	-0.14578356
ENSMUSG00000060988	0.015625112	0.18479651	-0.18634148	0.06938609	0.0043951496	0.19178246
ENSMUSG00000079481	-0.0083473055	-0.11487153	0.019867983	0.1064118	0.019836318	-0.020979311
ENSMUSG00000036246	0.07164871	0.08203829	0.32482743	0.16324273	0.05303123	0.03258713
