gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000025592	-0.02204221	-0.11230791	-0.2045274	-0.012281527	-0.041668322	0.075501524
ENSMUSG00000034652	0.019715736	-0.08596517	-0.13360253	-0.08667784	0.00743869	-0.064051084
ENSMUSG00000021040	0.07222989	0.5061624	0.45386726	0.25815737	0.057841208	0.24595024
ENSMUSG00000028862	0.07803968	0.22266936	0.1127587	0.16400322	0.08595608	0.15859886
ENSMUSG00000034522	0.047615364	0.16411209	0.0691469	0.11101303	0.062389236	0.14699431
ENSMUSG00000111236	-0.009311516	-0.19735953	-0.15630524	-0.16150151	-0.054254472	-0.07339264
ENSMUSG00000105835	0.047582917	0.3259159	0.15213762	0.2520456	0.08007986	0.20594296
ENSMUSG00000067594	0.016220257	-0.14189117	-0.09672642	-0.15517741	0.11308131	-0.05816634
ENSMUSG00000101298	0.065517835	-0.09338511	0.1392235	-0.00232083	0.09178744	-0.023902584
ENSMUSG00000091034	0.0830243	-0.09538306	0.1375298	-0.027547205	0.024886433	-0.025216805
ENSMUSG00000074366	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000101155	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000070533	0.018790202	-0.11852491	-0.11789641	-0.2266296	0.014925382	-0.103311986
ENSMUSG00000097832	0.13852194	0.14811362	0.4088114	0.16383009	0.0734551	0.14833534
ENSMUSG00000031389	-0.00354857	-0.010625636	0.03575015	0.2115202	0.03863765	-0.05138894
ENSMUSG00000074063	0.06558743	-0.10153702	0.10160561	-0.016686434	0.04591864	-0.03450337
ENSMUSG00000045087	0.11086473	-0.064367	0.16231152	-0.04508732	0.11271122	-0.0026180686
ENSMUSG00000021913	0.025126077	0.21348904	0.11719123	0.25435543	0.010097123	0.080532484
ENSMUSG00000035954	0.026520804	0.34825227	-0.08891459	0.20305239	0.007670237	0.25594434
ENSMUSG00000042284	0.02367513	-0.05766979	-0.08538794	0.09987886	0.042556882	0.01553691
ENSMUSG00000004098	0.023082543	-0.03330821	-0.15035142	0.012682941	0.017753895	-0.05436102
ENSMUSG00000111183	0.0047610076	-0.13948883	-0.16714157	-0.15929167	-0.06343203	-0.11692171
ENSMUSG00000038679	0.011452563	0.21586901	-0.094297215	0.33235577	0.06895095	0.186559
ENSMUSG00000096225	0.009590241	-0.1444486	-0.1382706	-0.07487296	0.07154569	-0.035818823
ENSMUSG00000085773	0.01245419	0.06035821	-0.025443466	0.2036586	0.0128905615	-0.028286688
ENSMUSG00000027270	0.013048742	-0.1031345	-0.12271989	-0.1261242	0.048673604	-0.04896227
ENSMUSG00000057594	-0.0757264	0.3217242	-0.3180974	0.053652246	0.096255966	0.35225216
ENSMUSG00000064147	0.043073136	-0.10053524	0.02524079	-0.06384455	0.041940257	-0.024285141
ENSMUSG00000007480	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000038072	0.022117423	0.19010495	-0.065134965	0.15406317	0.046117436	0.09330306
ENSMUSG00000026728	0.08220508	0.1187544	0.2715546	0.25593695	0.082892895	0.11144162
ENSMUSG00000107008	0.015577205	-0.025266876	-0.1884347	0.01184047	7.135703e-06	-0.06582586
ENSMUSG00000019815	-0.008680064	-0.1218247	-0.15812072	-0.037573565	-0.048010457	-0.09754614
ENSMUSG00000041460	0.017315898	-0.13679263	-0.030749625	-0.18637456	0.06304603	-0.09497636
ENSMUSG00000104082	0.013605077	-0.10848781	-0.10603048	-0.14771388	-0.04706655	-0.09285403
ENSMUSG00000097639	0.049547795	0.24702685	0.3040302	0.27539113	0.06390891	0.099141724
ENSMUSG00000032726	0.04346811	0.2993604	0.114759944	0.20448118	0.073439725	0.13203831
ENSMUSG00000026544	0.04039451	0.14042914	-0.018939657	0.11924389	0.0711851	0.09542322
ENSMUSG00000049420	0.0145715745	0.0051922323	-0.20113216	-0.030104395	-0.034610238	0.109393395
ENSMUSG00000115326	0.038883477	-0.0831807	-0.070737325	-0.14342938	-0.02442474	-0.082805224
ENSMUSG00000118212	-0.055309214	-0.18076377	-0.16837814	-0.17673326	-0.08104222	-0.15346955
ENSMUSG00000084984	0.030597895	-0.079075985	-0.03501235	-0.03608551	0.00010781445	-0.057939164
ENSMUSG00000037731	0.0424042	0.032968964	0.1504362	-0.019186756	0.041330144	0.04703541
ENSMUSG00000050357	0.08722418	0.054547597	0.23178625	0.08864226	0.06999756	0.018687641
ENSMUSG00000083653	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000022472	0.039045468	0.31713694	0.09453181	0.18425295	0.021094332	0.2279095
ENSMUSG00000097798	0.026039496	-0.1152654	-0.10111236	-0.09241532	-0.028558949	-0.045342013
ENSMUSG00000036966	0.029798267	0.2730476	-0.0070169657	0.07482916	0.013415405	0.22195446
ENSMUSG00000087575	0.16722573	-0.034721643	0.5544251	0.13861662	0.06620962	-0.034739494
ENSMUSG00000007036	0.033529963	0.26814008	0.105893895	0.078230746	0.06056634	0.11250748
ENSMUSG00000026779	0.031468567	0.42269096	0.0181403	0.24432896	0.030993396	0.2630395
ENSMUSG00000054582	0.02968594	-0.1343668	-0.0861403	-0.067625806	0.05003197	-0.036517937
ENSMUSG00000022420	0.10586759	-0.07266177	0.086262956	-0.026304418	0.08239853	-0.087084316
ENSMUSG00000032383	0.05657703	0.34533274	0.23194802	0.19576019	0.070501685	0.21263398
ENSMUSG00000047143	0.05469072	0.10150122	0.22603598	0.06710015	0.04517728	0.1094445
ENSMUSG00000091923	-0.0065754573	-0.14054061	-0.16692396	-0.18566026	-0.07486139	-0.13582811
ENSMUSG00000114052	0.008175711	-0.15532626	-0.17252143	-0.15331869	-0.054788776	-0.087976485
