gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000100973	-0.5089338	-0.445397	-0.20128809	-0.40648478	0.005971499	0.088346735	-0.513366	-0.7079204	-0.2177859	-0.04045391	-0.07166564	-0.13001934
ENSMUSG00000026111	0.030826533	0.19958106	0.10268202	0.13282497	0.004412295	0.045194875	-0.01834654	0.13959862	0.007667	0.0008578248	-0.009570532	0.097788446
ENSMUSG00000032737	0.06679759	0.1489852	0.10260642	0.14227973	0.02629649	0.060943127	0.049216162	0.08257019	0.01724705	0.0056641116	0.020126617	0.046798013
ENSMUSG00000024440	0.045419853	-0.026531128	-0.032370914	-0.027454048	0.0021503484	-0.052814446	0.05424594	0.009542245	0.01957644	0.01329118	0.0368342	-0.021760002
ENSMUSG00000020630	0.030213237	0.17023368	0.15363674	0.13415326	0.0066098315	0.056470003	0.048314195	0.10362344	0.016125333	0.00796763	0.0011153597	0.07790531
ENSMUSG00000033429	0.020941218	0.1796714	-0.017931802	0.15038542	-0.028523566	0.0748513	0.037489995	0.11786844	0.01724468	0.009559356	-0.0030954336	0.08470413
ENSMUSG00000039367	0.044144053	0.18995535	0.092061944	0.16956474	0.013856947	0.056914896	0.056063898	0.10424685	0.01528172	0.006445809	0.013449899	0.053118225
ENSMUSG00000025927	0.02630918	-0.056162436	-0.0518329	-0.08434132	0.0067560156	-0.02453327	0.0342063	0.01044318	0.021014193	0.007444764	0.0024233358	-0.044805262
ENSMUSG00000106734	-0.0661523	-0.07161788	-0.13119525	-0.07465587	0.004888861	-0.018332329	-0.048677716	-0.041915778	-0.0029264477	-0.009992452	-0.04218899	-0.04060693
ENSMUSG00000115704	-0.012168702	-0.08907665	-0.08185165	-0.052434642	0.0051876153	-0.013383945	-0.04767858	-0.11005589	-0.028813783	-0.016095165	-0.046993867	-0.051746428
ENSMUSG00000092575	-0.51429397	-0.44753423	-0.1972088	-0.4028444	0.0051331697	0.08509158	-0.52822787	-0.70620495	-0.22072311	-0.028592601	-0.06615486	-0.12743652
ENSMUSG00000120741	0.01924979	-0.042447988	-0.07129346	-0.05770459	-0.019024935	-0.022515291	0.0197731	0.04227249	0.007982299	0.0063856994	0.0056413477	-0.05680044
ENSMUSG00000073422	0.10521672	0.11275969	0.25463125	0.10232865	0.014027673	-0.014443412	-0.030210542	0.035711482	-0.012123792	0.011948523	-0.013266044	-0.045219805
ENSMUSG00000114790	0.017323308	-0.08146096	-0.050604932	-0.07708282	-0.016237048	-0.04470597	0.035865188	-0.015707921	0.028897554	0.0028391667	0.013378022	-0.032787926
ENSMUSG00000067219	0.025141114	0.03400928	-0.07367464	0.019938918	-0.029815387	0.009734521	0.017364971	0.07398834	0.012394912	0.008122385	0.014277519	0.009567676
ENSMUSG00000084949	0.022471605	0.04437499	-0.010317491	0.10212054	-0.016478565	-0.084730245	0.05339349	0.055993352	0.012569798	0.010162713	-0.01508672	-0.004862359
ENSMUSG00000051232	0.075311765	0.16896886	0.35705417	0.122143716	0.006932936	0.02258336	0.005809195	0.10338976	0.02190201	0.0009810055	-0.016670188	0.07875366
ENSMUSG00000091627	-0.5091506	-0.45051584	-0.20542079	-0.40770173	-0.0062173204	0.07919345	-0.5207488	-0.70139784	-0.21443819	-0.026357247	-0.061920136	-0.12432148
ENSMUSG00000063383	0.032423314	0.04403427	-0.04996071	0.039663382	-0.032240186	0.002254172	0.0146389	0.10653602	0.007665406	-0.0026720432	-0.052281264	0.10334665
ENSMUSG00000118505	0.022907237	-0.017048374	-0.03759234	0.008176827	0.012045496	-0.045312636	0.037438076	0.039035782	0.00863114	0.011585444	0.02068548	-0.042305227
ENSMUSG00000032298	0.046103913	0.11437134	0.18536776	0.12504044	0.011865601	0.024344135	0.045828745	0.096106336	0.0061601824	0.0056311516	-0.012101735	0.06493674
ENSMUSG00000085027	-0.00050571933	-0.024279183	-0.097279705	-0.08683573	-0.01707889	-0.06213458	0.031917874	0.029197631	0.01891732	0.0034136923	0.010588408	-0.043579247
ENSMUSG00000072945	0.044889055	0.051783256	0.32729998	0.100387	0.0071084704	-0.04897676	0.018557355	0.04660991	0.02623909	0.0032674307	-0.0014193893	0.016208896
ENSMUSG00000057534	0.06606059	0.009640001	0.256129	0.057251915	-0.0023532133	-0.06702677	0.078115605	0.014084325	0.026900992	0.0125511	0.008630194	-0.02713854
ENSMUSG00000032243	0.02336606	-0.004211536	-0.04792591	-0.02110812	0.0016150799	-0.021884708	0.041642554	0.0884897	0.0154626025	0.002903915	0.026930941	-0.006534465
ENSMUSG00000033213	0.016550042	-0.013587337	-0.049511008	0.049196664	-0.0631479	-0.045131564	-0.046069257	0.051654946	0.009002145	0.016501814	-0.06782151	0.01546863
ENSMUSG00000094460	0.0018365802	-0.021817781	-0.11481623	-0.056196608	-0.023436131	-0.029916845	0.0038669254	0.024548525	0.025995562	0.013353743	-0.017488187	-0.012949938
ENSMUSG00000040726	0.062468182	0.026327616	0.050020937	0.13691014	0.012443441	-0.042400014	0.029406207	0.08964784	0.023706095	0.0060266475	0.018434228	0.038147118
ENSMUSG00000020681	0.03515383	0.05060259	-0.016634874	0.028956166	0.01799764	0.007632717	0.05630273	0.07985426	0.02125174	0.0010892178	0.029450564	0.028803937
ENSMUSG00000019230	0.04436789	-0.0631807	-0.022885365	-0.010717611	0.017926328	-0.017532893	0.057057288	0.0640197	0.016464464	0.0065845707	0.017343527	0.0034784083
ENSMUSG00000106111	0.05114794	-0.05848861	-0.075270765	-0.009955502	-0.024326546	-0.030279925	0.008915612	-0.057519607	0.0004497657	-0.013495123	-0.04351662	-0.060093407
ENSMUSG00000020427	0.043737125	0.13880181	0.020751312	0.09667846	0.015968198	0.038743544	0.009922631	0.12825617	0.02480673	0.006264134	0.007892664	0.082898244
ENSMUSG00000095125	0.004300397	-0.049105123	-0.071991734	-0.07528421	-0.013562682	-0.04994277	0.0014752096	0.014190378	0.027616639	-0.0046903747	0.025078338	-0.05411453
ENSMUSG00000019066	0.030138299	0.12466118	-0.014070837	0.050882805	-0.0056630513	0.029907696	0.038825788	0.09116768	0.022593133	0.00558168	0.015195443	0.07252186
ENSMUSG00000032035	0.012627438	-0.038518265	-0.10630517	-0.051956218	0.0064971135	-0.049179077	0.035667922	0.0018841317	0.016979886	0.010768332	0.0075650816	-0.03997324
ENSMUSG00000031283	-0.045089953	-0.05053556	-0.1196379	-0.06871989	-0.061475538	-0.015931224	-0.09700775	0.022733413	-0.045092925	0.0034194167	-0.06480383	-0.023780782
ENSMUSG00000070719	0.02935598	-0.05655197	-0.024184294	-0.08693817	0.0058818245	-0.04864439	0.044362977	0.015372383	0.0062172706	-0.008063917	0.017917706	-0.01158403
ENSMUSG00000104766	0.022798644	-0.04914528	-0.0766456	-0.03449125	-0.0022527813	-0.04174983	0.040536046	0.0518183	0.015788095	0.013129546	0.022853736	-0.020058729
