gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000036095	0.011681066	-0.018016243	-0.08776386	-0.005081974	-0.0065060114	0.0039285165	-0.0060741487	0.03872143	4.534841e-05	0.0076183705	-0.035432138	0.09267245
ENSMUSG00000048327	0.039296005	0.13711894	0.039069023	0.13216135	0.0007433957	0.07444008	0.060708355	0.10503858	0.021701382	0.00876637	0.016202286	0.08429735
ENSMUSG00000013629	0.041224647	0.13061899	0.050978336	0.13909538	0.0150042	0.071514614	0.0633228	0.0839031	0.022326276	0.008303719	0.017223416	0.072410524
ENSMUSG00000058317	-0.5011125	-0.43792477	-0.20475943	-0.40031618	-0.0050173206	0.07061632	-0.5211622	-0.7024106	-0.2154851	-0.036336128	-0.06504462	-0.13004398
ENSMUSG00000018378	0.06325796	0.107837856	0.14351128	0.11197804	0.017915748	0.050632253	0.06125423	0.106122226	0.022252144	0.0047694594	0.016388545	0.08759519
ENSMUSG00000020520	0.0401815	0.15482424	-0.022743214	0.06986706	0.008632792	0.070935875	0.04477547	0.10330532	0.019989815	0.0021920027	0.016752552	0.096733496
ENSMUSG00000078689	0.039778393	0.075900055	0.03197329	0.1903562	0.021958744	-0.061884798	0.057899024	0.1008066	0.019098777	0.0036066861	0.01133198	0.03903868
ENSMUSG00000085452	0.009079048	-0.05890487	-0.08290402	-0.055648793	-0.00016080507	-0.031378023	0.004087655	-0.058728423	-0.00025654418	0.007870802	-0.032391973	-0.058661055
ENSMUSG00000097365	0.040195312	-0.056578632	0.07357328	-0.030676886	-0.0010960526	-0.036667332	0.07103852	0.014067048	0.017469434	0.005480032	0.023087151	-0.013343248
ENSMUSG00000041506	0.057642348	0.113722615	0.11235766	0.14760752	0.022899982	0.034258332	0.063941315	0.090774655	0.02538576	0.0049362374	0.020599185	0.04553493
ENSMUSG00000038068	0.024840906	0.03906916	-0.046388358	0.03933798	0.01069263	0.01495451	0.041233357	0.084682405	0.01780862	0.0041393302	0.024982506	0.077077724
ENSMUSG00000019878	0.05322574	0.15390731	0.08376688	0.13594325	0.025312126	0.04547387	0.04052676	0.11101439	0.016858947	0.0073319287	-0.0059499294	0.09380834
ENSMUSG00000026082	0.048378088	0.16681807	0.08826941	0.16682303	0.017636847	0.045324687	0.031736597	0.12492247	0.021222297	0.0021012914	0.003417847	0.06537453
ENSMUSG00000057236	0.052265454	0.17448078	0.08622197	0.20690784	0.03229317	0.077580795	0.0675358	0.10352678	0.025833113	0.0019607963	0.02226528	0.08741193
ENSMUSG00000026826	0.057951473	0.12840715	0.13201429	0.1674574	0.036183737	0.0518598	0.06362048	0.12071151	0.022311894	-0.002623285	0.01723945	0.09814427
ENSMUSG00000029580	0.11248702	0.22282167	0.27264646	0.19283895	0.0712729	0.03911716	0.048649386	0.08564592	0.026166806	0.0024760568	-0.0038363184	0.07403905
ENSMUSG00000061374	0.07087961	0.19827908	0.22146541	0.1960536	0.06425335	0.048314273	0.07374865	0.066892	0.031184608	0.0075477464	0.020970115	0.043888792
ENSMUSG00000092167	0.041854143	-0.0047224076	0.05449738	0.04191446	-0.007639084	-0.039417315	0.07481406	0.019843373	0.021054352	0.014330758	0.030043459	-0.030456854
ENSMUSG00000043716	0.09790366	0.19024368	0.24140672	0.15739855	0.05976685	0.047257684	0.010751958	0.10205757	0.013598189	0.0015720777	-0.0035460878	0.084067725
ENSMUSG00000027782	0.04578224	0.18533665	0.083966374	0.13110547	0.013723022	0.06898818	0.053072803	0.13252144	0.016817885	0.007593774	-0.000120339035	0.10108254
ENSMUSG00000031529	0.039340068	0.1655448	0.04766334	0.13727374	0.008063913	0.0651634	0.05063893	0.11052063	0.023272911	0.006367911	0.016159134	0.07401216
ENSMUSG00000020366	0.034835916	0.1549139	0.016104	0.12535053	0.00014838116	0.066001475	0.051320773	0.103940286	0.022611337	0.007113305	0.01517773	0.08268991
ENSMUSG00000029718	0.065210916	0.026155826	0.15173006	0.12330329	0.05425471	-0.007855931	0.05828623	0.05594605	0.031477656	0.009531497	0.0124014	0.008643474
ENSMUSG00000097000	0.050977707	0.18072993	0.12915292	0.1452421	0.013000842	0.07476586	0.050533388	0.10646082	0.022017634	0.004399148	0.017457807	0.06288601
ENSMUSG00000024067	0.09543157	-0.012383136	0.250267	0.03127941	0.0031341622	-0.063626304	0.059380356	0.018065484	0.025398985	0.007194018	0.021505028	-0.021377863
ENSMUSG00000022178	0.0823402	0.14823155	0.27249742	0.14790688	0.0552502	0.05740509	0.06858394	0.07383828	0.02917298	0.006798764	0.018164318	0.044302903
ENSMUSG00000051401	0.016962199	-0.015856136	-0.078208305	0.055955626	-0.02846688	-0.023865003	0.014788241	0.08812945	0.011675965	0.00015656673	-0.011615463	0.07534464
ENSMUSG00000034520	0.056453228	0.13459691	0.13219412	0.17436911	0.034099616	0.041865755	0.0623869	0.09643965	0.026746258	0.0026563539	0.018278334	0.07352885
ENSMUSG00000028759	0.05073196	0.17031059	0.10880538	0.13789791	0.021349592	0.02969216	0.037486088	0.1025186	0.018319169	0.0049677035	0.014678378	0.071003884
ENSMUSG00000114348	0.07963522	-0.03152864	0.34708813	0.07030916	-0.00034656102	-0.058663487	0.071639076	0.04443994	0.020593138	0.0126064215	0.011060384	-0.012286257
ENSMUSG00000026383	0.048165787	0.17033122	0.061783478	0.13249671	0.0018201706	0.05540211	0.056100454	0.104846604	0.019908383	0.009500583	0.012685612	0.08424077
ENSMUSG00000023991	0.06623	0.13731398	0.09493127	0.11202242	0.012662562	0.06807049	0.066161916	0.08381806	0.025394894	0.0021622146	0.022544961	0.047734953
ENSMUSG00000026558	0.05761505	0.14436436	0.17708935	0.1593381	0.034801006	0.04001175	0.06579209	0.08307456	0.025832983	0.0047830534	0.023420913	0.049628764
ENSMUSG00000005069	0.042658463	0.15411004	0.04490375	0.13959274	0.011192584	0.073770806	0.05844941	0.109267265	0.02228067	0.008218131	0.011696695	0.061225176
ENSMUSG00000032040	-0.050288297	-0.52502495	-0.057409354	-0.47923064	0.00034117256	0.0051193046	-0.0038053188	-0.2898814	-0.008522496	-0.09543461	0.013160805	-0.01098034
ENSMUSG00000048834	0.032824095	0.009591375	-0.0671898	-0.04947667	0.008297932	0.0070986743	0.031900447	0.087961845	0.016198942	0.0022907355	-0.010296421	0.06423192
ENSMUSG00000055932	0.03773193	0.12572448	0.052262407	0.092640825	0.00975865	0.061137095	0.045337472	0.08820602	0.023218362	0.0051213684	0.023877487	0.08169135
ENSMUSG00000029020	0.03429386	0.19690081	-0.012820437	0.11511794	-0.008003357	0.0527834	0.039022207	0.11605404	0.019245865	0.0087283915	0.014365191	0.087956354
ENSMUSG00000031447	0.040483054	0.17487174	0.22918947	0.1487654	0.0183324	0.053988416	0.059539285	0.09391449	0.025851315	0.0010613031	0.017168485	0.05483379
ENSMUSG00000061436	0.03113214	0.1424311	0.011106867	0.10948912	0.003460553	0.07931081	0.043441612	0.120791316	0.020451657	0.0036511219	0.01655052	0.100003295
ENSMUSG00000030513	0.033191733	0.095014006	0.0047646863	0.12213951	0.012297883	0.034687392	0.039976716	0.112465724	0.018691136	0.0043841507	0.022123802	0.07558129
ENSMUSG00000031858	0.03267729	0.2046887	0.086873956	0.13726567	0.006885359	0.09539869	0.054309182	0.12264733	0.024994034	0.004707267	0.013785813	0.09917097
ENSMUSG00000027722	0.041869804	0.2417169	0.047436945	0.18091874	0.012688103	0.065925755	0.039414305	0.13121648	0.014894233	0.0038323556	-0.0010117913	0.094658494
ENSMUSG00000061477	0.08864605	0.20559716	0.23258625	0.17192417	0.05842853	0.046907615	0.021391708	0.12292933	0.011463783	-0.002791419	-0.0106775	0.09667518
ENSMUSG00000027088	0.049684457	0.16055213	0.07631176	0.10897439	0.01382799	0.04831652	0.03175239	0.10607192	0.01947114	0.010137804	0.0067228246	0.08472147
ENSMUSG00000072258	0.034129642	0.16184486	0.022863077	0.1032678	0.014621993	0.059038013	0.03611525	0.095901236	0.019737953	0.0077489465	0.015380825	0.06588394
ENSMUSG00000038894	0.043294307	0.1572906	0.08746916	0.17359002	0.029592372	0.058751304	0.04807641	0.08532787	0.030167047	0.0025367287	0.024975717	0.063848
ENSMUSG00000031822	0.067565866	0.12875363	0.1452132	0.111450374	0.018203871	0.065920725	0.06968896	0.07564026	0.027333442	0.0055785086	0.024256347	0.050012637
ENSMUSG00000001150	0.038394656	0.1698808	0.053321775	0.14911005	0.0046484494	0.059579514	0.03604898	0.11574118	0.022274483	0.008556933	0.022103688	0.05372698
ENSMUSG00000069020	0.058105923	0.17401583	0.16786002	0.14124465	0.013228365	0.07413564	0.055079058	0.09146519	0.02250313	0.008784642	0.016974155	0.053646613
ENSMUSG00000035551	0.06892804	0.06650487	0.08719825	0.03676698	0.011559577	-0.011267515	0.057802238	0.08363918	0.020834507	0.0063924524	0.0179872	0.06405385
ENSMUSG00000029427	0.048145838	0.14977247	0.047932956	0.0864165	0.0125727365	0.058134567	0.04955055	0.10756575	0.01892473	0.0046696374	0.014651816	0.095991425
ENSMUSG00000085875	0.059150573	0.14714424	0.29376197	0.13359182	0.03676711	0.06518644	0.066193	0.099819876	0.024171868	0.0019303787	0.0054533803	0.09897828
ENSMUSG00000040972	0.039391816	0.044315834	0.0054416275	0.011623237	0.018922059	0.01568847	0.063172	0.06512	0.022128835	0.00808656	0.034268703	-0.008789843
ENSMUSG00000096574	0.054005638	0.11027098	0.045738775	0.13188423	0.016157178	0.030329272	0.05832994	0.08520692	0.023608902	0.0063115903	0.023109917	0.07382254
ENSMUSG00000037992	0.092500605	0.03546955	0.18207331	0.031703677	0.016834542	-0.01730654	0.063425854	0.054812416	0.024395134	0.007547704	0.022353198	-0.027911358
ENSMUSG00000019777	0.042033713	0.18106763	0.09741693	0.15922326	0.017017838	0.063561335	0.06081435	0.12213558	0.019235067	0.0057062716	0.008388034	0.092969984
ENSMUSG00000055762	0.054555632	0.17697637	0.14182813	0.11498918	0.017498245	0.072628774	0.05324839	0.09466785	0.023011437	0.004490869	0.015967475	0.07823354
ENSMUSG00000038910	0.008200841	0.042072486	-0.08400604	0.02345109	-0.023184532	0.03926836	0.0282582	0.1132683	0.011471108	-0.00034660913	-0.0047220746	0.093000375
ENSMUSG00000018900	0.043153327	0.13468084	0.00868495	0.091908276	-0.0023885004	0.0534092	0.044720907	0.096056275	0.01966245	0.009589389	0.02004323	0.08496782
ENSMUSG00000062190	0.019427706	0.1759085	0.016574621	0.15481704	0.02843298	0.052611466	0.030937914	0.13248372	0.015269979	0.006886609	-0.024517773	0.09652072
ENSMUSG00000060935	0.05783865	0.17273366	0.06140851	0.17690514	0.020234514	0.06325458	0.052267764	0.12441231	0.022130318	0.006180146	0.004924893	0.08781876
ENSMUSG00000021264	0.05675211	0.21247901	0.10299176	0.2151978	0.04893878	0.060261272	0.05384995	0.100068405	0.027633712	-0.0032115271	0.017582335	0.0728447
ENSMUSG00000041775	0.04787852	0.19081017	0.13313185	0.15179363	0.01815875	0.06902746	0.03729218	0.10114048	0.0072188117	0.005742842	0.010983255	0.045103353
ENSMUSG00000050966	0.075348414	0.13327286	0.20335588	0.159494	0.04645733	0.04648831	0.066311456	0.0733258	0.034127653	0.0055073067	0.021306239	0.041523106
ENSMUSG00000021720	0.02799388	0.09245628	-0.028849488	0.08613316	-0.01629034	0.027883818	0.030983426	0.11099862	0.016184425	0.0008724321	-0.000827354	0.09696064
ENSMUSG00000004364	0.05099437	0.14515826	0.06595447	0.15004894	0.024021804	0.050401643	0.059788994	0.121841095	0.017976722	0.008060495	-0.005784046	0.092054814
ENSMUSG00000020184	0.054501668	0.20062445	0.13372631	0.18250814	0.027301984	0.06850182	0.05827957	0.10173546	0.02458021	0.00042919142	0.015881475	0.055838235
ENSMUSG00000095677	-0.5070302	-0.4496914	-0.20316797	-0.3988632	-0.003920681	0.07734721	-0.52513653	-0.7055501	-0.21067527	-0.024191912	-0.06340843	-0.13470809
ENSMUSG00000036959	-0.008620987	-0.0021576197	0.00015650057	0.08935125	0.036398746	-0.0074230647	-0.0037228982	0.10752839	-0.00040739944	-0.0038685873	-0.010474667	0.03663471
ENSMUSG00000026249	0.0111529175	0.051392503	-0.08850446	0.016918577	-0.015158718	0.031857044	0.014186713	0.100136034	0.018643972	0.0030536582	0.0023835201	0.08419302
ENSMUSG00000010911	0.043388013	0.14924057	-0.0031159609	0.118786104	0.0010149768	0.074338906	0.047265388	0.112473205	0.019496607	0.008896647	0.0075675924	0.10826712
ENSMUSG00000025557	0.024064053	0.06098681	-0.01289197	0.15107346	-0.025518404	0.01048649	0.036093023	0.06867968	0.010585984	0.008014742	0.011515112	0.05339944
ENSMUSG00000020802	0.04405024	0.13868625	0.0070964233	0.09343828	0.012460834	0.04014891	0.05345012	0.07953425	0.020085206	0.0051434315	0.018676488	0.014861286
ENSMUSG00000024072	0.0423718	0.2004254	0.03153864	0.14930952	0.005997811	0.027474063	0.018093452	0.11451186	0.024182292	0.00839567	-0.013095656	0.0208454
