gene_id	PolII mean promoter	PolII mean gb	Pol2 mean promoter	Pol2 mean gb	Pol2ser5 mean promoter	Pol2ser5 mean gb
ENSMUSG00000075104	0.1211814	0.213646	0.542194	0.423237	0.713747	0.340727
ENSMUSG00000075105	0.1142228333333333	0.1681803333333333	0.151262	0.453869	0.39776	0.403204
ENSMUSG00000075107	0.24082	0.184003	0.301833	0.241687	0.477312	0.312601
ENSMUSG00000075110	0.2161223333333333	0.2138036666666667	0.317719	0.263731	0.210213	0.245958
ENSMUSG00000075111	0.2023543333333333	0.1988896666666666	0.367449	0.334117	0.147994	0.331582
ENSMUSG00000075112	0.2163583333333333	0.1786406666666666	0.593996	0.40891	0.238656	0.233154
ENSMUSG00000075113	0.208499	0.178198	0.269025	0.364832	0.272877	0.328014
ENSMUSG00000075114	0.195619	0.198484	0.157478	0.457492	0.159104	0.305063
ENSMUSG00000075115	0.252951	0.1869246666666666	0.489356	0.175619	0.238656	0.345994
ENSMUSG00000075117	0.171558	0.1948656666666667	0.466908	0.410035	0.39776	0.310632
ENSMUSG00000075119	0.214226	0.143912	0.629912	0.587956	0.0795521	0.249491
ENSMUSG00000075120	0.2161546666666667	0.1753183333333333	0.405133	0.316874	0.470202	0.303296
ENSMUSG00000075121	0.1704141	0.2450326666666666	0.265916	0.29626	0.458202	0.330827
ENSMUSG00000075122	1.0743456666666666	1.915166666666667	0.521117	0.97829	0.324876	0.888962
ENSMUSG00000075125	0.2048836666666666	0.2219876666666666	0.345692	0.10821	0.477312	0.295184
ENSMUSG00000075127	0.1469143333333333	0.1751736666666666	0.157478	0.25668	0.01	0.254169
ENSMUSG00000075128	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075132	0.1308088333333333	0.2658493333333333	0.614717	0.59116	0.199547	0.36081
ENSMUSG00000075133	0.2990846666666666	0.1864556666666666	0.314956	0.441031	0.363984	0.223358
ENSMUSG00000075137	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075139	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075140	0.1895643333333333	0.184687	0.472433	0.452113	0.0995512	0.310251
ENSMUSG00000075141	0.1734428	0.2600843333333333	0.155751	0.487689	0.721758	0.530213
ENSMUSG00000075143	0.205462	0.2044973333333333	0.524927	0.547853	0.471535	0.25269
ENSMUSG00000075144	0.1871286666666666	0.1653426666666666	0.378845	0.369838	0.694192	0.252146
ENSMUSG00000075145	0.192493	0.2787996666666666	0.865093	0.283287	0.430203	0.574383
