	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000061731	-0.039644025	-0.008947717	0.10792273	0.0065377406	0.058845825	0.519516	-0.023876429	0.24189049	0.030842122	-0.14498411
ENSMUSG00000060988	0.08904621	0.032177135	-0.16532981	-0.22611655	-0.08789263	0.3886548	-0.12993526	0.37553138	0.0048028613	-0.462343
ENSMUSG00000044042	-0.0005807767	-0.0011002924	-0.1561809	-0.068487525	-0.053678203	0.29752287	-0.050529532	0.20704386	0.023447469	-0.16883092
ENSMUSG00000053565	-0.07397723	0.009665368	0.7464638	0.19880873	0.13648614	0.4258517	0.107069686	0.108722605	0.02647897	0.060583975
ENSMUSG00000030825	-0.03680865	0.005818289	0.5373308	-0.015276204	0.46287763	-0.057307974	0.14260837	-0.074064635	0.035287708	0.13955651
ENSMUSG00000040183	-0.07468318	-0.0026012424	0.06314863	-0.009404468	0.038105123	0.44055927	0.06251566	0.19121578	0.026701054	-0.19129784
ENSMUSG00000040270	-0.057675608	0.05984944	-0.15628187	-0.1382048	-0.028998269	0.47561434	0.033120725	0.34950626	0.033482086	-0.4569153
ENSMUSG00000111556	-0.0061856024	0.0016916463	0.01862714	-0.078334704	-0.025198182	-0.33354166	-0.026326591	-0.033535685	0.020176854	0.09625548
ENSMUSG00000028793	-0.049899135	0.0022555457	0.41551933	-0.013794667	0.06237173	0.4136139	0.102342375	0.1483016	0.030249795	-0.04764583
ENSMUSG00000066456	-0.028403785	0.028664412	-0.16443224	-0.10902977	-0.022546222	0.2840187	0.027304787	0.3092948	0.029156521	-0.33910015
ENSMUSG00000020083	0.18184155	0.01605795	-0.36278948	0.011844006	0.21708995	-0.12337565	0.21980403	-0.10570602	-0.06028507	0.04118686
ENSMUSG00000027782	0.116549686	0.00307554	0.40155128	-0.02457844	0.020370271	0.4983294	0.051612627	0.17411521	0.024807014	-0.050560713
ENSMUSG00000030882	-0.03188977	0.003195372	-0.26220265	0.075674795	-0.055231966	0.1187095	0.014120896	0.056153897	0.019356282	0.084877826
ENSMUSG00000041718	0.12606834	-0.004874507	0.8554246	0.25272673	0.28459734	0.2580156	-0.14903627	0.09379306	-0.097817644	0.057762284
ENSMUSG00000108111	-0.042548552	-0.0051804944	0.096840225	0.064435	0.009217442	-0.10020421	0.030912748	-0.011351694	0.012785168	0.07980244
ENSMUSG00000096370	-0.024437303	0.009941017	0.49544576	0.17076218	0.42670128	0.5130194	0.13895836	0.14658521	0.047150906	0.08467213
ENSMUSG00000055560	-0.037005294	0.0021285058	0.3328006	0.11265171	0.16385272	0.33799088	0.08437851	0.081573226	0.032648478	0.07718583
ENSMUSG00000005533	-0.056713987	0.08476748	0.1522643	-0.091506325	0.037253104	0.6235882	-0.024094228	0.29932112	0.015817221	-0.46715286
ENSMUSG00000102976	0.104948334	-0.0063260696	0.7198103	0.20883253	0.091115765	0.36846358	0.06312374	0.10762206	0.01261849	0.097619615
ENSMUSG00000092274	-0.03807337	0.011772601	0.15922779	0.16409715	0.28017098	0.33095422	0.14277427	0.0023768316	0.029747266	0.16632792
ENSMUSG00000038168	0.006088997	0.071864046	-0.218308	-0.24697834	-0.11188491	0.17538965	-0.27303144	0.29310393	-0.017940868	-0.45864007
ENSMUSG00000025889	0.041321196	0.006022507	-0.16508444	-0.08530938	-0.06828218	0.13111344	-0.106928386	0.22013755	0.01729233	-0.12675726
ENSMUSG00000025790	-0.016615072	0.07813567	-0.058354355	-0.20567308	-0.10350766	0.4481166	-0.1556103	0.26899263	-0.014135907	-0.55903244
ENSMUSG00000094910	-0.059458233	-0.018108964	-0.060819965	0.003941905	0.018342953	0.37721497	0.03352297	0.16662574	0.028914364	-0.082630605
ENSMUSG00000038010	0.04881735	0.007446202	0.18209541	0.026591685	0.003601082	0.4732065	0.041289788	0.105910756	0.032471906	0.095369466
ENSMUSG00000001056	-0.030189883	0.006688071	0.6885544	0.18891853	0.5482835	0.4478875	0.13270843	0.11299848	0.055498004	0.12436002
ENSMUSG00000038210	0.21601325	0.11930863	-0.45510352	-0.10842415	0.0759104	0.06838228	0.36379665	0.09641043	-0.08149948	-0.2750111
ENSMUSG00000028013	0.010683722	-0.00077277375	0.26000905	0.019865865	0.011337822	0.29490682	0.039579105	0.19029981	0.026214506	0.018279724
ENSMUSG00000022723	-0.06718061	0.054333102	-0.21668392	-0.14912088	-0.018467402	0.40413186	0.054452363	0.3149097	0.03475023	-0.4285871
ENSMUSG00000090854	0.005004184	0.023155319	-0.109782755	0.034334023	0.4361068	0.016647043	0.038446505	-0.08329898	0.1491762	0.20430757
ENSMUSG00000070031	0.00945056	-0.00058938074	-0.25577396	-0.02984234	-0.13046908	-0.2620336	0.057645965	-0.014891152	0.03535044	0.09261543
ENSMUSG00000032470	-0.07488167	0.06420404	0.2680546	-0.053411175	0.15634358	0.24912927	0.1611098	0.19600211	0.042411264	-0.28538254
ENSMUSG00000086584	0.08255102	0.007887783	0.65095085	0.12249636	-0.03434636	-0.1392341	0.0109180715	0.046051655	-0.030264687	0.101480275
ENSMUSG00000053819	0.006626237	0.0101681715	-0.091653556	-0.048481114	-0.040094998	0.5195309	0.02648516	0.37128687	0.029419452	-0.22245808
ENSMUSG00000024548	0.007375526	0.027418548	-0.06641766	-0.16257851	-0.09147239	0.3138127	-0.1705719	0.30784738	-0.012198694	-0.47535396
ENSMUSG00000086509	-0.05089382	0.09608829	-0.37022915	-0.078162596	-0.007035041	0.015291867	0.37435746	0.112849265	-0.034728564	-0.31337377
ENSMUSG00000059743	-0.03546451	0.006640293	0.3987229	-0.008663454	0.056836076	0.46535572	0.08241898	0.13412149	0.032357763	0.022442237
ENSMUSG00000062713	0.06865432	0.1175417	-0.41751006	-0.12248146	0.10359779	0.1473518	0.39062843	0.083397254	-0.0630473	-0.34930342
ENSMUSG00000025351	0.06307241	0.0072944146	-0.32487297	0.22279452	0.439583	-0.062935576	0.24400051	0.038935598	-0.05522311	0.06477491
ENSMUSG00000066057	0.054146353	0.009441984	0.058797207	0.075202815	-0.066698425	0.49914762	0.03639292	0.088189006	0.011681529	0.06586475
ENSMUSG00000020801	-0.07686564	0.00041238527	0.29473418	0.011423993	0.42691147	0.4165552	0.10532015	0.33805725	0.057623897	0.04515353
ENSMUSG00000039428	0.037361678	0.03926441	-0.0012158465	-0.12622406	0.03312029	0.6577972	0.04389346	0.3529295	0.029351112	-0.44242632
ENSMUSG00000056771	-0.036510225	-0.010211417	-0.124389954	-0.0070187994	-0.12293003	0.60930145	0.031207517	0.21138048	0.031881977	0.038478393
ENSMUSG00000040629	0.016803797	0.035039775	0.21542394	-0.017211154	-0.088189036	0.11293612	0.049505115	0.23621705	0.010520848	-0.08923552
ENSMUSG00000031586	-0.024624731	0.009034748	0.4107656	0.03320476	0.20284128	0.4947485	0.06830164	0.20717132	0.040598102	-0.07906879
ENSMUSG00000030231	-0.012487901	-0.0014677892	0.22386922	0.021129299	0.019579723	0.5888149	0.07060252	0.18667753	0.032213643	-0.13690814
ENSMUSG00000048899	-0.058197953	0.042717215	-0.2192553	-0.12244638	-0.03400669	0.28821793	0.07007673	0.2576397	0.046120428	-0.3364962
ENSMUSG00000097195	-0.024031425	-0.0045174486	0.005858248	0.0076912926	0.41392934	0.5307082	-0.0065696933	0.1843116	0.06393306	0.025088433
ENSMUSG00000022144	0.0073781232	0.10256719	-0.42047513	-0.11260625	0.10480388	0.22915965	0.40458667	0.13997993	-0.098484345	-0.35970336
ENSMUSG00000004698	0.039771903	-0.0069827368	-0.20305395	-0.050151475	-0.081095375	-0.36356863	-0.158045	-0.11378673	0.019853462	0.101490304
ENSMUSG00000022494	-0.007470676	0.101066865	-0.15451437	-0.23816118	-0.12575573	0.26451716	-0.2464918	0.29931134	-0.026006354	-0.5423254
ENSMUSG00000033392	0.064183556	0.008654336	0.29594478	-0.017975982	0.036535226	0.6498968	0.028752783	0.1894938	0.032602064	-0.104044504
ENSMUSG00000041794	-0.048978526	0.031118067	-0.1931689	-0.055834208	-0.018179236	-0.28754407	0.12285239	0.08537441	0.035897627	0.04187259
ENSMUSG00000000416	0.0068861814	0.06268671	-0.14971755	-0.21572416	-0.11228279	0.34054676	-0.1671654	0.29013115	-0.0038287563	-0.4871353
ENSMUSG00000020524	0.01519497	-0.0032956332	-0.10074443	-0.022511274	-0.17217688	-0.31665206	-0.15705645	-0.3045484	0.023428563	0.14282638
ENSMUSG00000055762	-0.036761954	0.06731612	0.45087144	-0.03646256	0.17975886	0.50999206	0.15140735	0.19789438	0.043162722	-0.22844617
ENSMUSG00000054237	0.033674538	0.0062139924	0.40596062	-0.01389711	-0.07467443	0.47999913	0.0043225554	0.015612585	0.0050673843	0.068333335
ENSMUSG00000022304	-0.06524165	-0.0037472185	-0.13004799	-0.053855166	0.007914177	0.24093884	0.07545982	0.17755961	0.024707796	-0.21345714
ENSMUSG00000097039	-0.050389413	-0.031136857	0.07178843	-0.0017053529	0.030527033	0.4910002	-0.026614122	0.19386214	0.024410687	-0.07767286
ENSMUSG00000032796	-0.008033261	0.03353395	0.3101066	-0.04418992	-0.03513352	0.44098252	-0.09812061	0.19261123	-0.013973769	-0.23777288
ENSMUSG00000086354	0.06741017	0.006785022	0.42104688	0.23032387	-0.090055175	-0.23397607	0.06327476	-0.016443217	0.0073430967	0.073781565
ENSMUSG00000028218	-0.009285726	0.009385681	-0.0953913	-0.07767211	-0.04168288	0.4752592	0.027055789	0.2323107	0.041609973	-0.23994498
ENSMUSG00000052584	-0.07863704	0.009907354	-0.006238739	-0.02457307	0.035924744	0.41390327	0.12911355	0.23698176	0.028838828	-0.23507452
ENSMUSG00000029461	0.058651585	0.006794722	0.31438556	0.16068882	-0.00026911407	0.37422046	0.06633268	0.12995209	0.023649445	0.06887029
ENSMUSG00000036879	0.055477824	0.010071635	0.0974646	0.04611787	-0.016053088	0.5911343	-0.020535791	0.06035483	0.011235673	0.05471822
ENSMUSG00000055540	0.064772926	0.06531285	-0.21499498	-0.24033676	-0.11651562	0.2997065	-0.14507355	0.3538548	0.0006976676	-0.4677108
ENSMUSG00000019966	-0.06577614	0.047963183	-0.19466598	-0.14103395	-0.0046518864	0.47532582	0.05144186	0.33869535	0.033035774	-0.4259935
ENSMUSG00000051864	0.007501921	0.001318423	0.2703293	0.024047524	-0.08569304	0.4929034	-0.050768442	0.1969839	-0.019142287	0.015635457
ENSMUSG00000020482	-0.075225666	0.006869421	0.5314989	0.01859346	0.15166391	0.34887567	0.076697215	0.17879428	0.02769665	-0.038157385
ENSMUSG00000020873	0.067109786	0.00066937425	0.7472423	0.20968617	0.14561352	0.37768754	0.03629243	0.032935165	0.011006661	0.07669579
ENSMUSG00000044378	0.023086274	-0.005623329	-0.17682408	-0.0041851746	-0.03490175	-0.38164622	-0.107863106	-0.20225261	0.027709544	0.10830075
ENSMUSG00000032384	0.06714811	0.0034243492	0.28343076	0.16948658	-0.047553092	0.3758673	0.0012509482	0.085556425	-0.015301678	0.054972418
ENSMUSG00000018446	-0.049856145	0.011537603	0.6168633	0.11744223	0.5797626	0.48899263	0.20215055	0.10344055	0.065713674	0.102489464
ENSMUSG00000037151	-0.070987105	0.013266146	0.10751783	-0.004492904	-0.028898211	0.52974814	0.024614347	0.22057983	0.02650324	-0.18210694
ENSMUSG00000027665	0.04375919	0.00015238477	0.29291934	-0.015971558	-0.038464934	0.44407865	-0.019071117	0.14432167	-0.0009903635	-0.02827599
ENSMUSG00000059975	-0.009565007	0.009456074	0.20237899	-0.014473112	0.2566887	0.46233708	0.12350364	0.03025188	0.04365645	0.03536894
