	PolII mean gb	PolII mean promoter
ENSMUSG00000097181	-0.458234149360131	-0.4657299194636914
ENSMUSG00000048231	-0.3129970586472438	-0.4793598088808435
ENSMUSG00000103932	-0.5667467957925186	-0.4797929840353684
ENSMUSG00000074024	-0.0856734532429418	0.3356003018591295
ENSMUSG00000024570	-0.0249665463402851	0.323366796536415
ENSMUSG00000114370	-0.3590433849099823	-0.2565582852977028
ENSMUSG00000121634	-0.4041289476332079	-0.3646527959220789
ENSMUSG00000008763	-0.1120846464254882	0.5153194997950737
ENSMUSG00000085683	-0.3213951348638115	-0.4120262933694056
ENSMUSG00000100149	-2.0	-2.0
ENSMUSG00000018401	-0.0453178211360164	0.3079664470282739
ENSMUSG00000000416	-0.4829060214063903	0.0653916166479651
ENSMUSG00000102300	-0.2535236701122805	-0.1090303394244657
ENSMUSG00000050028	-0.6720883817335074	-0.6077541031800311
ENSMUSG00000029103	-0.0342819696864183	0.3997982821134231
ENSMUSG00000106427	0.0654138071968316	-0.1082047181958472
ENSMUSG00000108584	0.0324124421155504	-0.0118041473434385
ENSMUSG00000111157	-0.3405116148331615	-0.2768943674953085
ENSMUSG00000042348	-0.0095506761680928	0.5331604645619192
ENSMUSG00000032482	-0.0163931956817478	-0.0675515022555004
ENSMUSG00000001507	-0.0296646555109616	0.2909578969835717
ENSMUSG00000026830	-0.438601154937255	-0.4187753391677539
ENSMUSG00000086968	-0.15768925320417	0.2317587179807368
ENSMUSG00000119955	0.1091939568743967	0.266329084423913
ENSMUSG00000042626	-0.1052486423719202	0.2563621811699008
ENSMUSG00000102013	-0.3338462681730097	-0.3264647171489669
ENSMUSG00000049028	-0.3463778984575423	-0.5384126425188831
ENSMUSG00000074607	-0.2205196728006638	-0.0578554758705679
ENSMUSG00000075463	-0.0694813015181245	0.3372211827020438
ENSMUSG00000034570	-0.1043277787892967	-0.5411549777286312
ENSMUSG00000086513	-0.3456049214356573	-0.8128133067195337
ENSMUSG00000090485	-0.3216140235674906	-0.2682256478253238
ENSMUSG00000029490	-0.2782424593105445	0.3069947054748634
ENSMUSG00000079700	-0.3880234097194455	-0.3028468834830587
ENSMUSG00000034587	-0.1744557494278293	0.3625929192856875
ENSMUSG00000026027	-0.2015771254336384	0.5358609916936934
ENSMUSG00000045231	-0.2999681419515928	0.3657645723339291
ENSMUSG00000107385	-0.0836646168663148	0.3146290548271656
ENSMUSG00000097495	0.402265510382613	-0.3409644759462412
ENSMUSG00000018822	-0.1943700280914228	0.0724945927703765
ENSMUSG00000024426	-0.1797327114536425	0.3499054886249966
ENSMUSG00000102416	-0.241103240077573	-0.2517300851835344
ENSMUSG00000099752	-0.3671873189475122	-0.3925396366045343
ENSMUSG00000029075	-0.0658775276812885	0.1893709294744455
ENSMUSG00000051497	-0.4534158831179318	-0.4591641353113437
ENSMUSG00000061013	-0.3584572803535856	0.1825110882018613
ENSMUSG00000048612	-0.0374455247986622	0.1739684595606032
ENSMUSG00000046994	-0.1778048434767724	0.4072991065033921
ENSMUSG00000110282	-0.1472119617432205	-0.088515541163012
ENSMUSG00000013584	-0.4198519775359961	-0.0034934938794565
ENSMUSG00000026309	-0.0226651479262925	0.4399831743934008
ENSMUSG00000028793	-0.0381364832372164	0.4689162674295026
ENSMUSG00000032315	-0.2699898076377264	-0.2268725153138595
ENSMUSG00000091466	-0.7460788032079072	-0.7572587627060625
ENSMUSG00000111551	-0.1213070480768683	-0.1682855505468387
ENSMUSG00000024579	-0.0446569363420063	0.2451369393072868
ENSMUSG00000073096	-0.0852537339017137	0.4627273377720989
